('Wentzville Police Department', 2)
('Williamston Police Department', 2)
('Laurens Police Department', 2)
("Randall County Sheriff's Office", 2)
("Ward County Sheriff's Office", 2)
("Sumner County Sheriff's Office", 2)
('Canton Township Department of Public Safety', 2)
("McHenry County Sheriff's Office", 2)
('Westtown-East Goshen Regional Police Department', 2)
('Iowa City Police Department', 2)
('Angleton Police Department', 2)
('Ocean Springs Police Department', 2)
('Fort Stewart Military Police', 2)
('Osage Nation Tribal Police', 2)
('Avon Police Department', 2)
('U.S. Forest Service, Washington State Patrol', 2)
('De Soto Police Department', 2)
('Pontoon Beach Police Department', 2)
('Vinita Police Department', 2)
("Ingham County Sheriff's Office", 2)
('Chatham Police Department', 2)
('McAlester Police Department', 2)
("Mississippi Highway Safety Patrol, DeSoto County Sheriff's", 2)
("Moore County Sheriff's Office", 2)
('Brentwood Police Department', 2)
('Jeffersonville Police Department', 2)
("Lawrence County Sheriff's Office, Washington Parish Sheriff's Office", 2)
('Atkins Police Department', 2)
('Washington Park Police Department', 2)
('Medicine Lodge Police Department', 2)
('Inman Police Department', 2)
('San Diego Police Department, National City Police Department', 2)
("Colbert County Sheriff's Office", 2)
('New Iberia Police Department', 2)
("Kittitas County Sheriff's Office", 2)
('Garden City Police Department', 2)
("Copiah County Sheriff's Office", 2)
('Dellwood Police Department', 2)
("Boise Police Department, Ada County Sheriff's Office", 2)
('Morris Police Department', 2)
('Liberty Police Department', 2)
('Berkeley Police Department, Oakland Police Department', 2)
('Wake Village Police Department', 2)
('Mayfield Heights Police Department', 2)
('Lindsay Department of Public Safety', 2)
('James City County Police Department', 2)
("Powhatan County Sheriff's Office", 2)
('Rocklin Police Department', 2)
('Maryland State Police, Maryland Transportation Authority Police', 2)
('St. Martinville Police Department', 2)
('Bolingbrook Police Department', 2)
('Ramsey Police Department', 2)
('San Jacinto Police Department', 2)
('Arkansas State Police, Sherwood Police Department', 2)
('Baldwin Police Department', 2)
('Jay Police Department', 2)
("Adair County Sheriff's Office", 2)
("Bergen County Prosecutor's Office", 2)
('Millington Police Department', 2)
('Evendale Police Department', 2)
('Temple Terrace Police Department', 2)
('Sanger Police Department', 2)
("Chisago County Sheriff's Office", 2)
('Moorhead Police Department', 2)
('Boulder City Police Department', 2)
('Derby Police Department', 2)
('Ocean Township Police Department', 2)
("Houston Police Department, Harris County Sheriff's Office", 2)
("Kansas Highway Patrol, Ellis County Sheriff's Office", 2)
('North Carolina State Highway Patrol, Huntersville Police Department', 2)
("King George County Sheriff's Office", 2)
("Calaveras County Sheriff's Office", 2)
("Raleigh County Sheriff's Office", 2)
('Hannibal Police Department', 2)
("Genesee County Sheriff's Office", 2)
('Shoreline Police Department', 2)
("Milam County Sheriff's Office", 2)
('South Portland Police Department', 2)
('Pekin Police Department', 2)
('Great Bend Police Department', 2)
('Giddings Police Department', 2)
('Dougherty County Police Department', 2)
('Pauls Valley Police Department', 2)
("Elbert County Sheriff's Office", 2)
('Fenton Police Department', 2)
("Hanford Police Department, Kings County Sheriff's Office", 2)
('Wayne State University Department of Public Safety', 2)
("Gwinnett County Sheriff's Office", 2)
("Kenosha County Sheriff's Office", 2)
("Sandusky County Sheriff's Office", 2)
("Medina County Sheriff's Office", 2)
('Morganton Department of Public Safety', 2)
("Bossier Parish Sheriff's Office", 2)
("Gogebic County Sheriff's Office, Michigan State Police", 2)
('Ross Police Department', 2)
('Sparta Police Department', 2)
('Leesburg Police Department', 2)
('Eupora Police Department', 2)
('Minnetonka Police Department', 2)
('Illinois Department of Natural Resources', 2)
('Yarmouth Police Department', 2)
("Hays County Sheriff's Office", 2)
("Alleghany County Sheriff's Office", 2)
('York Area Regional Police Department', 2)
("Washita County Sheriff's Office", 2)
('Solon Police Department', 2)
('Mebane Police Department', 2)
('Boonville Police Department', 2)
('Alexander City Police Department', 2)
("Wright County Sheriff's Office", 2)
('Texas Parks and Wildlife Department', 2)
('Travelers Rest Police Department', 2)
("Pecos County Sheriff's Office", 2)
('South Carolina Law Enforcement Division', 2)
("Dixie County Sheriff's Office", 2)
('Seaford Police Department', 2)
("Orleans County Sheriff's Office", 2)
('Vernon Hills Police Department', 2)
('Saratoga Springs Police Department', 2)
('Weathersfield Police Department', 2)
('Kingsland Police Department', 2)
('Sevierville Police Department', 2)
('Mount Vernon Police Department', 2)
('Coconut Creek Police Department', 2)
('Millbrook Police Department', 2)
("Rapides Parish Sheriff's Office", 2)
('DeSoto Police Department', 2)
("Wilkes County Sheriff's Office", 2)
("DeLand Police Department, Volusia County Sheriff's Office", 2)
("D'Iberville Police Department", 2)
('Logan Police Department', 2)
('Twinsburg Police Department', 2)
("Klamath County Sheriff's Office", 2)
("Albany County Sheriff's Office", 2)
("Dillon County Sheriff's Office", 2)
("Buckingham County Sheriff's Office", 2)
("Reno Police Department, Washoe County Sheriff's Office", 2)
('Burnsville Police Department', 2)
('Ocean City Police Department', 2)
("Tyler County Sheriff's Office", 2)
("Williams County Sheriff's Office", 2)
('St. Anthony Police Department', 2)
('Dunbar Police Department', 2)
('Norwich Police Department', 2)
('Hoquiam Police Department', 2)
('Danbury Police Department', 2)
("Guernsey County Sheriff's Office", 2)
('Brown Deer Police Department', 2)
('Rockwood Police Department', 2)
("Isle of Wight County Sheriff's Office", 2)
('Avenal Police Department', 2)
("Sherburne County Sheriff's Office", 2)
('Goshen Police Department', 2)
("El Paso County Sheriff's Office, Florence Police Department", 2)
('Globe Police Department', 2)
('New York State Department of Corrections and Community Supervision', 2)
('Fishers Police Department', 2)
('Evergreen Park Police Department', 2)
("Hickman County Sheriff's Office", 2)
("Richland County Sheriff's Department", 2)
('Alabama Law Enforcement Agency', 2)
('Royal Oak Police Department', 2)
("Winn Parish Sheriff's Office", 2)
("Macon County Sheriff's Office", 2)
('Lower Burrell Police Department', 2)
('Sandy Police Department', 2)
('Seward Police Department, New Florence Police Department', 2)
('North Chicago Police Department', 2)
('Silverton Police Department', 2)
('Jamestown Police Department', 2)
('Lopatcong Township Police Department', 2)
('San Anselmo Police Department', 2)
("Gary Police Department, Lake County Sheriff's Office", 2)
('Homer Police Department', 2)
('Swanzey Police Department', 2)
('Bayard Police Department', 2)
('Mason Police Department', 2)
('Crenshaw Police Department', 2)
("Mendocino County Sheriff's Office, U.S. Forest Service, U.S. Bureau of Land Management", 2)
('Pennsauken Police Department', 2)
('Forrest City Police Department', 2)
('Masontown Police Department, Pennsylvania State Police', 2)
("Ware County Sheriff's Office", 2)
('Cody Police Department', 2)
("City of New York Police Department, Nassau County Sheriff's Office", 2)
("Merced County Sheriff's Office, Merced Police Department", 2)
('Loudon Police Department', 2)
('Eagle Point Police Department', 2)
('Stockton Police Department, California Highway Patrol', 2)
("Vermilion County Sheriff's Office", 2)
('Tularosa Police Department', 2)
('Hillside Police Department', 2)
("Calaveras County Sheriff's Office, California Highway Patrol", 2)
("Craven County Sheriff's Office", 2)
("Horry County Sheriff's Office", 2)
('Leon Valley Police Department', 2)
('South Bloomfield Police Department', 2)
('Navajo Police Department', 2)
('Sandy Springs Police Department', 2)
('Henry County Police Department, Georgia State Patrol', 2)
('Chesterfield Police Department', 2)
('Enfield (CT) Police Department', 2)
('La Verne Police Department', 2)
('Burlington Northern Santa Fe Railway Police Department', 2)
('Genoa City (WI) Police Department, Spring Grove Police Department', 2)
('Town of Tonawanda Police Department', 2)
('Layton City Police Department', 2)
("Copiah County Sheriff's Office, Mississippi Highway Patrol, Lincoln County Sheriff's Office", 2)
("Henry County Sheriff's Office, Tennessee Highway Patrol, U.S. Federal Bureau of Investigation", 2)
("Ringgold Police Department, Catoosa County Sheriff's Office", 2)
('Kinston Police Department', 2)
("Scioto County Sheriff's Office", 2)
("Gloucester County Sheriff's Office, Virginia State Police", 2)
('U.S. Federal Bureau of Investigation, Southgate Police Department', 2)
('Farmersville Police Department', 2)
('Wilkinsburg Police Department', 2)
('Wiggins Police Department', 2)
('Galesburg Police Department', 2)
('Nutley Police Department', 2)
('U.S. Drug Enforcement Administration, Dellwood Police Department', 2)
('Liberal Police Department', 2)
("Hardeman County Sheriff's Office", 2)
('McDonough Police Department', 2)
('Geneva Township Police Department', 2)
('Port Authority of New York and New Jersey', 2)
("Jerome County Sheriff's Office", 2)
("Anniston Police Department, Calhoun County Sheriff's Office", 2)
('Benton Harbor Police Department', 2)
('Kearny Police Department', 2)
('Maysville Police Department', 2)
('Michigan State Police, Marysville Police Department', 2)
('La Grange Police Department', 2)
('Cumberland Police Department', 2)
("Heard County Sheriff's Office", 2)
("Wichita Police Department, Sedgwick County Sheriff's Office", 2)
('Gillette Police Department', 2)
("Lapeer County Sheriff's Office", 2)
("Bullitt County Sheriff's Office", 2)
('Bureau of Narcotics Enforcement', 2)
('Normal Police Department', 2)
('Kimball Police Department', 2)
('Monona Police Department', 2)
('Christiansburg Police Department', 2)
("Ottawa County Sheriff's Office, Holland Police Department", 2)
('Sherwood Police Department', 2)
('Brainerd Police Department', 2)
('Oliver Springs Police Department', 2)
('Massillon Police Department', 2)
('Sugar Land Police Department', 2)
('California Highway Patrol, Oakland Police Department', 2)
("Carbon County Sheriff's Office", 2)
('Sylacauga Police Department', 2)
('Yates Center Police Department', 2)
('Tulsa Police Department, Oklahoma Highway Patrol', 2)
('Collinsville Police Department', 2)
("San Luis Obispo County Sheriff's Office", 2)
("Shiawassee County Sheriff's Office", 2)
('North Slope Borough Police Department', 2)
('Iva Police Department', 2)
("Gainesville Police Department, Alachua County Sheriff's Office", 2)
('Pine Lawn Police Department', 2)
('Dyer Police Department', 2)
("Granville County Sheriff's Office", 2)
('Clyde Police Department', 2)
('Crawford Police Department', 2)
('Doraville Police Department', 2)
